employee_id,first_name,last_name,email,hire_date,is_remote,status,hierarchy_level,department_id,job_id,manager_id,location_id
59,Betty,Martin,betty.martin@techcorp.fake,5/23/2024,TRUE,Active,Manager,3,6,23,102
60,Neha,Clark,neha.clark@techcorp.fake,1/3/2019,TRUE,Active,Manager,4,6,18,103
61,Elizabeth,Moore,elizabeth.moore@techcorp.fake,3/21/2022,FALSE,Active,Manager,2,7,11,103
62,Li,Brown,li.brown@techcorp.fake,11/18/2021,FALSE,Active,Manager,2,7,9,102
63,Susan,Smith,susan.smith@techcorp.fake,10/29/2021,FALSE,Active,Manager,5,7,21,105
64,Priya,Smith,priya.smith@techcorp.fake,11/9/2019,FALSE,Active,Manager,4,7,18,104
65,Joseph,Sanchez,joseph.sanchez@techcorp.fake,10/19/2022,TRUE,Active,Manager,5,7,14,101
66,Linda,Martin,linda.martin@techcorp.fake,9/29/2024,FALSE,Active,Manager,5,6,23,101
67,Susan,Thompson,susan.thompson@techcorp.fake,4/3/2019,FALSE,Active,Manager,5,6,16,105
68,Daniel,Martinez,daniel.martinez@techcorp.fake,1/1/2018,FALSE,Active,Manager,5,6,18,104
69,Marcus,Hernandez,marcus.hernandez@techcorp.fake,7/17/2017,FALSE,Active,Manager,5,7,9,102
70,Christopher,Jones,christopher.jones@techcorp.fake,5/5/2020,FALSE,Active,Manager,3,6,9,102
71,Jessica,Smith,jessica.smith@techcorp.fake,5/27/2020,FALSE,Active,Manager,3,6,24,102
72,Sarah,Taylor,sarah.taylor@techcorp.fake,8/26/2020,FALSE,Active,Manager,2,6,17,105
73,Lisa,Perez,lisa.perez@techcorp.fake,4/4/2019,TRUE,Active,Manager,7,7,16,101
74,Betty,Chen,betty.chen@techcorp.fake,8/10/2022,TRUE,Active,Manager,2,6,19,102
75,Matthew,Lewis,matthew.lewis@techcorp.fake,11/22/2015,FALSE,Active,Manager,2,7,15,102
76,Mark,Brown,mark.brown@techcorp.fake,9/21/2017,FALSE,Active,Manager,6,7,14,101
77,Joseph,Jones,joseph.jones@techcorp.fake,9/4/2016,FALSE,Active,Manager,7,7,17,104
78,James,Hernandez,james.hernandez@techcorp.fake,2/6/2022,FALSE,Active,Manager,2,7,21,105
79,Matthew,Lee,matthew.lee@techcorp.fake,8/18/2016,FALSE,Terminated,Manager,4,6,8,103
80,Michael,Wang,michael.wang@techcorp.fake,7/9/2017,TRUE,Active,Manager,5,6,25,103
81,William,Lopez,william.lopez@techcorp.fake,4/21/2017,FALSE,Active,Manager,7,7,8,102
82,Lisa,Sanchez,lisa.sanchez@techcorp.fake,5/10/2018,FALSE,Active,Manager,7,7,20,105
83,James,Jackson,james.jackson@techcorp.fake,12/10/2015,TRUE,Active,Manager,6,6,7,103
84,Linda,Miller,linda.miller@techcorp.fake,2/20/2020,FALSE,Active,Manager,7,6,19,105
85,Lisa,Miller,lisa.miller@techcorp.fake,11/3/2024,FALSE,Active,Manager,6,7,21,101
86,David,Sanchez,david.sanchez@techcorp.fake,5/8/2017,FALSE,Active,Manager,3,7,21,102
87,Thomas,Jones,thomas.jones@techcorp.fake,11/24/2018,FALSE,Active,Manager,3,6,18,102
88,Linda,Lee,linda.lee@techcorp.fake,1/3/2024,TRUE,Active,Manager,5,6,19,102
89,Wei,Wilson,wei.wilson@techcorp.fake,3/20/2016,FALSE,Active,Manager,5,6,23,101
90,Wei,Brown,wei.brown@techcorp.fake,11/24/2019,FALSE,Terminated,Manager,5,7,20,105
91,Amit,Thompson,amit.thompson@techcorp.fake,8/10/2015,FALSE,Active,Manager,6,7,10,102
92,Robert,Martin,robert.martin@techcorp.fake,6/16/2024,TRUE,Active,Manager,7,6,17,101
93,Elena,Anderson,elena.anderson@techcorp.fake,8/14/2016,FALSE,Active,Manager,2,7,16,104
94,Margaret,Lewis,margaret.lewis@techcorp.fake,10/27/2017,TRUE,Active,Manager,5,7,15,104
95,Michael,Davis,michael.davis@techcorp.fake,7/19/2018,TRUE,Active,Manager,5,6,16,102
96,William,Jackson,william.jackson@techcorp.fake,10/14/2017,FALSE,Active,Manager,3,7,22,102
97,Linda,Ramirez,linda.ramirez@techcorp.fake,8/25/2020,TRUE,Active,Manager,3,6,9,102
98,Barbara,Clark,barbara.clark@techcorp.fake,12/18/2018,FALSE,Active,Manager,3,7,7,102
99,Neha,Brown,neha.brown@techcorp.fake,8/7/2020,TRUE,Active,Manager,6,6,16,103
100,Amit,Anderson,amit.anderson@techcorp.fake,6/7/2016,FALSE,Active,Manager,4,7,6,105
101,Daniel,Wang,daniel.wang@techcorp.fake,10/21/2022,TRUE,Active,Manager,6,6,14,101
102,Lisa,Smith,lisa.smith@techcorp.fake,8/30/2020,TRUE,Active,Manager,5,7,9,101
103,Carlos,Williams,carlos.williams@techcorp.fake,3/25/2021,TRUE,Active,Manager,5,6,20,104
104,Wei,White,wei.white@techcorp.fake,5/14/2023,FALSE,Active,Manager,5,7,19,105
105,Marcus,Clark,marcus.clark@techcorp.fake,12/14/2019,FALSE,Active,Manager,5,6,21,104
106,Nancy,Chen,nancy.chen@techcorp.fake,8/4/2018,TRUE,Active,Manager,2,6,10,101
107,Anthony,Lewis,anthony.lewis@techcorp.fake,10/27/2022,FALSE,Terminated,Manager,2,7,21,102
108,Wei,White,wei.white@techcorp.fake,10/11/2023,FALSE,Active,Manager,3,7,7,102
109,James,White,james.white@techcorp.fake,7/30/2018,FALSE,Active,Manager,3,6,21,102
110,Wei,Brown,wei.brown@techcorp.fake,9/17/2021,FALSE,Active,Manager,2,7,16,102
111,Carlos,Williams,carlos.williams@techcorp.fake,12/25/2017,FALSE,Active,Manager,2,6,9,103
112,Susan,Chen,susan.chen@techcorp.fake,7/31/2019,TRUE,Active,Manager,2,7,16,101
113,John,Thompson,john.thompson@techcorp.fake,3/12/2016,FALSE,Active,Manager,4,6,9,102
114,James,Thompson,james.thompson@techcorp.fake,4/8/2017,FALSE,Active,Manager,2,6,24,102
115,Robert,Jones,robert.jones@techcorp.fake,3/1/2023,FALSE,Active,Manager,7,7,12,101
116,Betty,Patel,betty.patel@techcorp.fake,9/16/2015,TRUE,Active,Manager,3,7,7,102
117,Susan,Garcia,susan.garcia@techcorp.fake,6/26/2020,TRUE,Leave,Manager,5,6,6,101
118,Elena,Martinez,elena.martinez@techcorp.fake,6/12/2020,FALSE,Active,Manager,4,7,11,101
119,Anthony,Miller,anthony.miller@techcorp.fake,4/13/2015,FALSE,Active,Manager,2,6,20,105
120,William,Lee,william.lee@techcorp.fake,9/19/2017,FALSE,Active,Manager,2,7,11,103
121,Joseph,Martin,joseph.martin@techcorp.fake,2/7/2017,FALSE,Active,Manager,2,6,15,105
122,Joseph,Williams,joseph.williams@techcorp.fake,1/29/2018,TRUE,Active,Manager,6,6,12,102
123,Betty,Perez,betty.perez@techcorp.fake,5/6/2018,TRUE,Active,Manager,2,7,20,101
124,Richard,Brown,richard.brown@techcorp.fake,10/31/2022,FALSE,Active,Manager,2,7,18,102
125,Rahul,Ramirez,rahul.ramirez@techcorp.fake,3/23/2021,TRUE,Active,Manager,7,7,11,101
126,Elena,Lopez,elena.lopez@techcorp.fake,3/10/2023,TRUE,Active,Manager,2,6,15,101
127,Rahul,Jones,rahul.jones@techcorp.fake,11/15/2021,FALSE,Active,Manager,3,7,9,102
128,Patricia,Gonzalez,patricia.gonzalez@techcorp.fake,8/25/2015,FALSE,Active,Manager,2,7,6,103
129,Sandra,Thompson,sandra.thompson@techcorp.fake,6/25/2023,TRUE,Active,Manager,2,7,20,105
130,Carlos,Robinson,carlos.robinson@techcorp.fake,2/18/2018,FALSE,Active,Manager,2,6,13,105
131,Daniel,Harris,daniel.harris@techcorp.fake,12/28/2021,FALSE,Active,Manager,4,7,21,105
132,Elena,Clark,elena.clark@techcorp.fake,11/28/2023,TRUE,Active,Manager,2,6,6,102
133,Joseph,Wilson,joseph.wilson@techcorp.fake,11/1/2022,FALSE,Terminated,Manager,3,7,8,102
134,Mark,Thomas,mark.thomas@techcorp.fake,2/5/2017,FALSE,Leave,Manager,2,6,14,101
135,Li,Perez,li.perez@techcorp.fake,5/5/2022,FALSE,Active,Manager,3,6,21,102
136,Richard,Lee,richard.lee@techcorp.fake,4/9/2024,FALSE,Active,Manager,5,7,22,103
137,Rahul,Lee,rahul.lee@techcorp.fake,9/17/2017,FALSE,Active,Manager,5,7,13,105
138,Michael,Davis,michael.davis@techcorp.fake,4/19/2022,TRUE,Leave,Manager,5,6,13,102
139,Nancy,Thomas,nancy.thomas@techcorp.fake,10/26/2019,FALSE,Active,Manager,5,7,18,103
140,Margaret,Patel,margaret.patel@techcorp.fake,5/9/2021,FALSE,Active,Manager,3,7,14,102
141,Mary,Martinez,mary.martinez@techcorp.fake,3/29/2021,FALSE,Active,Manager,4,7,8,101
142,Jennifer,Sharma,jennifer.sharma@techcorp.fake,7/23/2024,FALSE,Active,Manager,4,7,15,104
143,Margaret,Chen,margaret.chen@techcorp.fake,9/16/2022,TRUE,Active,Manager,2,6,20,102
144,Margaret,Rodriguez,margaret.rodriguez@techcorp.fake,8/14/2024,FALSE,Active,Manager,2,7,12,101
145,Karen,Taylor,karen.taylor@techcorp.fake,5/10/2016,FALSE,Active,Manager,2,6,13,103
146,Sandra,Hernandez,sandra.hernandez@techcorp.fake,11/13/2017,TRUE,Active,Manager,3,6,9,102
147,David,Sharma,david.sharma@techcorp.fake,9/16/2023,FALSE,Active,Manager,3,7,23,102
148,Margaret,Martinez,margaret.martinez@techcorp.fake,9/23/2019,FALSE,Active,Manager,3,7,24,102
149,Matthew,Perez,matthew.perez@techcorp.fake,12/24/2021,FALSE,Active,Manager,5,7,18,104
150,Elena,Taylor,elena.taylor@techcorp.fake,9/3/2020,TRUE,Active,Manager,5,6,17,104
151,Amit,Brown,amit.brown@techcorp.fake,12/3/2023,FALSE,Active,Manager,2,7,23,101
152,James,Harris,james.harris@techcorp.fake,5/24/2021,TRUE,Active,Manager,2,7,18,101
153,Anthony,Lee,anthony.lee@techcorp.fake,12/4/2015,TRUE,Active,Manager,6,7,22,103
154,Richard,Smith,richard.smith@techcorp.fake,4/21/2020,FALSE,Active,Manager,2,7,21,101
155,John,Harris,john.harris@techcorp.fake,7/6/2023,TRUE,Active,Manager,4,7,19,104
156,Elena,Taylor,elena.taylor@techcorp.fake,12/23/2019,TRUE,Active,Manager,5,6,21,101
157,Jennifer,White,jennifer.white@techcorp.fake,5/17/2015,TRUE,Active,Manager,3,6,8,102
158,Linda,Johnson,linda.johnson@techcorp.fake,12/30/2021,TRUE,Active,Manager,3,7,15,102
159,Anthony,Anderson,anthony.anderson@techcorp.fake,3/24/2021,TRUE,Active,Manager,4,7,6,102
160,William,Sharma,william.sharma@techcorp.fake,11/16/2015,FALSE,Active,Manager,6,6,15,105
161,Carlos,Garcia,carlos.garcia@techcorp.fake,2/7/2020,TRUE,Terminated,Manager,4,7,13,101
162,Amit,Smith,amit.smith@techcorp.fake,7/4/2017,TRUE,Active,Manager,3,7,20,102
163,Lisa,Thompson,lisa.thompson@techcorp.fake,4/20/2018,TRUE,Active,Manager,5,7,23,101
164,Joseph,Taylor,joseph.taylor@techcorp.fake,3/12/2020,FALSE,Active,Manager,5,6,10,104
165,Rahul,Chen,rahul.chen@techcorp.fake,11/3/2020,FALSE,Active,Manager,5,7,11,104
166,Rahul,Lewis,rahul.lewis@techcorp.fake,9/8/2024,FALSE,Active,Manager,2,7,22,102
167,Lisa,Rodriguez,lisa.rodriguez@techcorp.fake,7/14/2017,FALSE,Active,Manager,6,7,18,101
168,Barbara,Gonzalez,barbara.gonzalez@techcorp.fake,10/1/2020,FALSE,Active,Manager,4,7,23,101
169,Elena,Garcia,elena.garcia@techcorp.fake,12/17/2022,TRUE,Active,Manager,2,7,7,102
170,Mary,Garcia,mary.garcia@techcorp.fake,12/24/2022,TRUE,Terminated,Manager,2,7,23,103
171,John,Martin,john.martin@techcorp.fake,6/12/2018,FALSE,Active,Manager,4,6,14,101
172,Carlos,Williams,carlos.williams@techcorp.fake,6/5/2020,TRUE,Active,Manager,5,7,18,105
173,Thomas,Taylor,thomas.taylor@techcorp.fake,3/8/2016,FALSE,Active,Manager,2,6,18,101
174,Mary,Lopez,mary.lopez@techcorp.fake,10/7/2024,TRUE,Terminated,Manager,2,7,24,103
175,Mary,Smith,mary.smith@techcorp.fake,9/25/2017,FALSE,Active,Manager,7,7,22,105
176,Margaret,Taylor,margaret.taylor@techcorp.fake,11/17/2020,TRUE,Active,Manager,5,7,22,103
177,Daniel,Williams,daniel.williams@techcorp.fake,9/16/2017,TRUE,Active,Manager,2,7,20,101
178,Carlos,Sanchez,carlos.sanchez@techcorp.fake,8/21/2016,FALSE,Active,Manager,2,6,11,104
179,Rahul,Anderson,rahul.anderson@techcorp.fake,9/16/2021,FALSE,Active,Manager,2,6,20,104
180,Amit,Sharma,amit.sharma@techcorp.fake,1/31/2016,FALSE,Active,Manager,2,6,14,101
181,James,Sharma,james.sharma@techcorp.fake,11/7/2024,FALSE,Active,Manager,7,6,23,103
182,Charles,Brown,charles.brown@techcorp.fake,2/19/2016,TRUE,Active,Manager,5,6,23,103
183,Mary,Moore,mary.moore@techcorp.fake,7/27/2017,TRUE,Terminated,Manager,7,7,20,104
184,Betty,Jackson,betty.jackson@techcorp.fake,6/25/2019,TRUE,Leave,Manager,5,7,10,103
185,Rahul,Wang,rahul.wang@techcorp.fake,6/17/2022,TRUE,Active,Manager,2,7,21,104
186,Jennifer,Wilson,jennifer.wilson@techcorp.fake,11/15/2021,TRUE,Active,Manager,4,6,11,102
187,Rahul,Singh,rahul.singh@techcorp.fake,6/24/2016,TRUE,Active,Manager,3,6,19,102
188,Patricia,Wilson,patricia.wilson@techcorp.fake,7/8/2019,FALSE,Active,Manager,2,7,8,101
189,David,Chen,david.chen@techcorp.fake,4/29/2020,TRUE,Active,Manager,5,6,7,102
190,Thomas,Brown,thomas.brown@techcorp.fake,5/28/2024,FALSE,Active,Manager,4,6,6,103
191,Sofia,White,sofia.white@techcorp.fake,10/7/2023,FALSE,Active,Manager,7,7,6,104
192,Lisa,Lewis,lisa.lewis@techcorp.fake,3/25/2015,FALSE,Active,Manager,6,6,22,104
193,Robert,Jackson,robert.jackson@techcorp.fake,9/28/2015,FALSE,Active,Manager,5,6,17,105
194,Neha,Garcia,neha.garcia@techcorp.fake,4/10/2021,TRUE,Active,Manager,4,7,7,105
195,Jennifer,Singh,jennifer.singh@techcorp.fake,1/23/2016,TRUE,Active,Manager,2,6,19,102
196,Nancy,Jackson,nancy.jackson@techcorp.fake,8/2/2015,FALSE,Active,Manager,4,6,19,105
197,David,Smith,david.smith@techcorp.fake,11/5/2022,FALSE,Active,Manager,5,6,20,105
198,Jessica,Jones,jessica.jones@techcorp.fake,11/12/2023,TRUE,Active,Manager,3,6,7,102
199,Amit,Clark,amit.clark@techcorp.fake,2/28/2015,TRUE,Active,Manager,7,7,13,103
200,William,Thomas,william.thomas@techcorp.fake,6/14/2019,FALSE,Active,Manager,5,7,23,102
201,Jennifer,Garcia,jennifer.garcia@techcorp.fake,1/9/2023,TRUE,Active,Manager,7,6,10,102
202,Jessica,Gonzalez,jessica.gonzalez@techcorp.fake,4/22/2017,FALSE,Active,Manager,5,7,9,101
203,Mark,Wang,mark.wang@techcorp.fake,2/19/2023,FALSE,Active,Manager,2,7,9,101
204,John,Jackson,john.jackson@techcorp.fake,3/8/2019,TRUE,Active,Manager,2,7,7,103
205,Karen,Lopez,karen.lopez@techcorp.fake,9/26/2019,FALSE,Active,Manager,3,6,18,102
206,Li,Thomas,li.thomas@techcorp.fake,5/3/2015,FALSE,Active,Manager,5,6,21,103
207,Charles,Martinez,charles.martinez@techcorp.fake,12/7/2018,TRUE,Active,Manager,2,6,7,103
208,Betty,Harris,betty.harris@techcorp.fake,3/8/2018,FALSE,Active,Manager,2,7,24,102
209,John,Martin,john.martin@techcorp.fake,1/14/2024,FALSE,Active,Manager,2,7,18,102
210,Charles,Patel,charles.patel@techcorp.fake,2/28/2024,FALSE,Active,Manager,2,7,23,105
211,Karen,Brown,karen.brown@techcorp.fake,10/22/2021,TRUE,Active,Manager,5,6,23,101
212,Rahul,Thompson,rahul.thompson@techcorp.fake,5/28/2023,FALSE,Active,Manager,7,7,22,104
213,Michael,Johnson,michael.johnson@techcorp.fake,7/15/2016,FALSE,Active,Manager,4,6,12,102
214,Amit,Perez,amit.perez@techcorp.fake,12/5/2020,FALSE,Active,Manager,3,6,9,102
215,Marcus,Davis,marcus.davis@techcorp.fake,10/4/2019,FALSE,Active,Manager,7,6,8,105
216,Elena,Miller,elena.miller@techcorp.fake,6/23/2017,TRUE,Active,Manager,4,6,16,102
217,Sarah,Wilson,sarah.wilson@techcorp.fake,9/24/2024,FALSE,Active,Manager,6,7,11,105
218,Marcus,Williams,marcus.williams@techcorp.fake,1/30/2016,FALSE,Active,Manager,3,6,10,102
219,James,Thomas,james.thomas@techcorp.fake,9/23/2019,TRUE,Active,Manager,4,6,19,104
220,David,Jackson,david.jackson@techcorp.fake,1/2/2023,FALSE,Leave,Manager,2,7,11,103
221,Margaret,Moore,margaret.moore@techcorp.fake,9/1/2024,TRUE,Active,Manager,6,6,21,104
222,Matthew,Thomas,matthew.thomas@techcorp.fake,9/13/2019,FALSE,Active,Manager,6,7,22,103
223,Daniel,Davis,daniel.davis@techcorp.fake,7/23/2017,TRUE,Active,Manager,6,7,11,103
224,Priya,Singh,priya.singh@techcorp.fake,1/6/2018,FALSE,Active,Manager,2,6,8,101
225,Sandra,Lopez,sandra.lopez@techcorp.fake,3/19/2023,FALSE,Active,Manager,2,7,12,103
226,Wei,Hernandez,wei.hernandez@techcorp.fake,12/6/2018,FALSE,Active,Manager,5,6,14,105
227,Michael,Jones,michael.jones@techcorp.fake,3/16/2015,FALSE,Active,Manager,7,7,6,105
228,Jessica,Clark,jessica.clark@techcorp.fake,10/22/2015,FALSE,Active,Manager,2,7,13,102
229,Betty,Lopez,betty.lopez@techcorp.fake,1/21/2015,TRUE,Active,Manager,3,7,25,102
230,Mary,Taylor,mary.taylor@techcorp.fake,11/17/2023,FALSE,Active,Manager,4,7,7,101
231,James,Garcia,james.garcia@techcorp.fake,11/4/2017,FALSE,Active,Manager,5,6,15,103
232,Barbara,Singh,barbara.singh@techcorp.fake,5/19/2018,FALSE,Active,Manager,3,6,22,102
233,Robert,Jones,robert.jones@techcorp.fake,7/13/2016,TRUE,Active,Manager,4,6,12,103
234,Carlos,Ramirez,carlos.ramirez@techcorp.fake,1/14/2018,FALSE,Active,Manager,3,7,7,102
235,Rahul,Wilson,rahul.wilson@techcorp.fake,3/18/2018,FALSE,Active,Manager,6,7,21,103
236,William,Jones,william.jones@techcorp.fake,1/7/2016,FALSE,Active,Manager,5,6,11,105
237,Wei,Singh,wei.singh@techcorp.fake,7/20/2020,TRUE,Active,Manager,7,7,14,103
238,Charles,Jackson,charles.jackson@techcorp.fake,9/21/2024,TRUE,Active,Manager,4,6,8,102
239,Jessica,Perez,jessica.perez@techcorp.fake,3/28/2017,FALSE,Active,Manager,4,7,15,103
240,John,Jones,john.jones@techcorp.fake,3/20/2018,TRUE,Active,Manager,5,7,23,103
241,Karen,Johnson,karen.johnson@techcorp.fake,3/10/2018,FALSE,Active,Manager,4,7,14,105
242,Lisa,Robinson,lisa.robinson@techcorp.fake,12/28/2017,TRUE,Active,Manager,2,7,6,102
243,Amit,Brown,amit.brown@techcorp.fake,7/7/2018,FALSE,Active,Manager,2,7,23,103
244,Lisa,Singh,lisa.singh@techcorp.fake,7/4/2020,FALSE,Active,Manager,2,7,24,103
245,David,Gonzalez,david.gonzalez@techcorp.fake,4/25/2017,FALSE,Active,Manager,4,7,10,104
246,Linda,Martin,linda.martin@techcorp.fake,6/14/2020,FALSE,Active,Manager,7,6,19,104
247,Li,Miller,li.miller@techcorp.fake,6/4/2016,TRUE,Active,Manager,2,7,25,105
248,Sofia,Anderson,sofia.anderson@techcorp.fake,1/6/2016,TRUE,Active,Manager,5,7,21,102
249,Marcus,Thompson,marcus.thompson@techcorp.fake,12/13/2018,TRUE,Active,Manager,5,7,24,101
250,Karen,Wilson,karen.wilson@techcorp.fake,4/11/2015,FALSE,Active,Manager,6,7,16,101
251,Wei,Thompson,wei.thompson@techcorp.fake,10/22/2016,FALSE,Leave,Manager,2,7,22,103
252,Matthew,Jackson,matthew.jackson@techcorp.fake,8/9/2019,FALSE,Active,Manager,3,7,9,102
253,Wei,Lewis,wei.lewis@techcorp.fake,4/4/2023,FALSE,Active,Manager,5,7,19,103
254,Matthew,Martin,matthew.martin@techcorp.fake,8/31/2015,FALSE,Active,Manager,4,7,20,105
255,Mark,Lewis,mark.lewis@techcorp.fake,9/1/2022,FALSE,Active,Manager,2,7,7,105
256,Sarah,White,sarah.white@techcorp.fake,5/26/2016,TRUE,Active,Manager,3,7,15,102
257,Sarah,Moore,sarah.moore@techcorp.fake,12/6/2022,TRUE,Active,Manager,4,6,13,105
258,Mary,Martinez,mary.martinez@techcorp.fake,2/15/2022,FALSE,Active,Manager,2,6,25,103
259,Wei,Davis,wei.davis@techcorp.fake,9/2/2023,FALSE,Active,Manager,2,7,22,101
260,Jessica,Sanchez,jessica.sanchez@techcorp.fake,3/23/2021,TRUE,Active,Manager,3,6,13,102
261,Li,Lewis,li.lewis@techcorp.fake,3/22/2019,FALSE,Active,Manager,3,7,14,102
262,Amit,Martinez,amit.martinez@techcorp.fake,3/11/2021,FALSE,Active,Manager,6,6,9,103
263,Patricia,Taylor,patricia.taylor@techcorp.fake,7/28/2022,FALSE,Active,Manager,2,7,22,102
